experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,mse,mae,r2,sigma_b0_est,sigma_b1_est,sigma_b2_est,mse_pre_post,n_epoch,time,n_params,ue_q
0,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.5258,1.01903,0.146487,,,,,13,48.5017,47885,
0,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.52144,1.01905,0.14893,0.0107109,0.0112656,0.00305844,1.52042,73,358.545,13305,
1,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.48395,1.01074,0.155945,,,,,7,47.0824,47885,
1,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.48636,1.01257,0.154576,0.0104112,0.0117163,0.00436979,1.48347,73,299.565,13305,
2,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.4936,1.00397,0.149326,,,,,11,46.8244,47885,
2,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.48276,1.00885,0.155505,0.0110543,0.0118377,0.00307701,1.47799,49,214.76,13305,
3,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.49109,1.00649,0.154403,,,,,10,48.5873,47885,
3,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.47038,1.00294,0.166149,0.0103978,0.0108528,0.00354266,1.47106,81,316.401,13305,
4,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.49443,1.01184,0.151944,,,,,10,39.9387,47885,
4,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.47443,1.00928,0.163293,0.0105227,0.0127935,0.00604732,1.47813,52,169.341,13305,
5,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.52287,1.01817,0.153604,,,,,10,37.2428,47885,
5,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.5031,1.0207,0.164592,0.0103246,0.0120813,0.00361005,1.50319,51,172.389,13305,
6,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.5176,1.02377,0.158649,,,,,11,46.9784,47885,
6,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.48646,1.01525,0.175914,0.0110481,0.0113537,0.00267926,1.4817,47,211.012,13305,
7,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.51158,1.01712,0.161254,,,,,9,47.8592,47885,
7,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.50204,1.01634,0.166548,0.01081,0.0118029,0.00315127,1.51086,54,237.787,13305,
8,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.54319,1.0207,0.138571,,,,,10,47.944,47885,
8,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.47975,1.0053,0.173986,0.0103416,0.0113647,0.00383142,1.48249,56,258.063,13305,
9,1000,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,1.48132,1.01061,0.154512,,,,,7,46.9293,47885,
9,10000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,1.48703,1.01617,0.151258,0.0102685,0.0121662,0.00434206,1.48608,50,239.102,13305,
0,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.54955,1.03144,0.133206,,,,,8,47.1698,88665,8192
1,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.49545,1.0153,0.149408,,,,,8,47.7394,88665,8192
2,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.49552,1.01216,0.148237,,,,,8,46.9017,88665,8192
3,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.52239,1.01757,0.136653,,,,,9,48.1083,88665,8192
4,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.49927,1.01591,0.1492,,,,,8,47.0251,88665,8192
5,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.50985,1.02457,0.160839,,,,,9,34.4322,88665,8192
6,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.51529,1.02453,0.159928,,,,,10,35.4688,88665,8192
7,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.51533,1.02021,0.159169,,,,,8,48.0645,88665,8192
8,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.51357,1.01953,0.155104,,,,,10,47.2611,88665,8192
9,1000,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,1.50214,1.01853,0.142633,,,,,8,48.0737,88665,8192
