,experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,mse,mae,r2,sigma_b0_est,sigma_b1_est,mse_pre_post,n_epoch,time,n_params
0,0,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.46182,1.17269,0.390247,,,,8,18.4298,789981
1,0,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.19072,1.14065,0.457393,0.640522,0.575187,2.4038,126,356.717,10821
2,1,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.43516,1.1706,0.416117,,,,7,17.5621,789981
3,1,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.2498,1.17421,0.46056,0.259468,0.250015,2.15925,263,592.103,10821
4,2,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.57804,1.20439,0.382586,,,,7,17.522,789981
5,2,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.47182,1.20353,0.408024,0.207314,0.222005,2.53845,338,887.501,10821
6,3,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.61893,1.21882,0.362153,,,,8,24.756,789981
7,3,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.43163,1.22331,0.35906,0.650351,0.487172,2.7131,150,231.652,10821
8,4,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.66803,1.22343,0.367749,,,,7,18.3229,789981
9,4,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.36619,1.1929,0.439277,0.241618,0.249757,2.45022,264,694.019,10821
10,5,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.6268,1.23795,0.365655,,,,7,24.1789,789981
11,5,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.40224,1.17669,0.419884,0.791851,0.482491,2.58062,107,320.722,10821
12,6,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.59988,1.23028,0.383955,,,,7,20.3591,789981
13,6,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.61498,1.32688,0.261899,0.511768,0.375859,3.14883,211,349.986,10821
14,7,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.58667,1.23221,0.384711,,,,8,24.2471,789981
15,7,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.38683,1.17228,0.432247,0.899129,0.478636,2.60078,124,473.662,10821
16,8,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.6481,1.23429,0.366377,,,,7,24.3566,789981
17,8,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.12317,1.12123,0.491979,0.237094,0.244295,2.11382,274,593.749,10821
18,9,1000,0.1,10,0.1,[10],[10],5,tabtransformer,2.5598,1.21672,0.397737,,,,7,24.435,789981
19,9,80000,0.1,10,0.1,[10],[10],5,mmtabtransformer,2.38867,1.16094,0.438,0.585441,0.525434,2.41755,127,377.05,10821
