experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,mse,mae,r2,sigma_b0_est,sigma_b1_est,sigma_b2_est,sigma_b3_est,mse_pre_post,n_epoch,time,n_params,ue_q
0,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0151715,0.097393,0.310244,,,,,,6,29.3181,368497,
0,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0133574,0.0908144,0.392722,0.0694966,0.0842986,0.0651472,0.0609438,0.0142543,152,281.751,16667,
1,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0137787,0.0920546,0.361746,,,,,,7,32.0352,368497,
1,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0117636,0.0851014,0.455092,0.0696311,0.0849096,0.066057,0.0580569,0.0132911,154,319.358,16667,
2,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0131477,0.0895116,0.351787,,,,,,12,88.0985,368497,
2,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.011278,0.0821351,0.443964,0.0696832,0.0846216,0.0653195,0.0556085,0.0123209,145,350.342,16667,
3,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0133322,0.0898431,0.377152,,,,,,17,87.7384,368497,
3,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0132254,0.0911701,0.382141,0.0704521,0.0850149,0.064828,0.0576903,0.0136646,160,351.696,16667,
4,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0134154,0.0912917,0.392602,,,,,,6,47.761,368497,
4,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0120962,0.0845125,0.45233,0.0696599,0.0847154,0.064801,0.0588039,0.0126506,139,358.886,16667,
5,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0149847,0.0950817,0.268835,,,,,,8,47.8345,368497,
5,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0114706,0.0834271,0.440303,0.0703764,0.0842272,0.0659434,0.0582159,0.0130289,151,377.164,16667,
6,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0146626,0.0945329,0.323498,,,,,,22,150.245,368497,
6,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0133114,0.0899212,0.38584,0.0700667,0.0843643,0.0650937,0.0558887,0.0142422,165,391.335,16667,
7,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0143276,0.0930487,0.360586,,,,,,7,49.2154,368497,
7,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0123577,0.0875947,0.448502,0.0701013,0.0851514,0.0656617,0.057317,0.0129795,153,372.689,16667,
8,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0141487,0.091804,0.310882,,,,,,32,208.23,368497,
8,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0134373,0.0886888,0.345528,0.0690958,0.0843214,0.0656018,0.0569941,0.0136522,140,317.009,16667,
9,100,0.1,10,0.1,[100],"[10, 10]",5,tabtransformer,0.0140549,0.0931496,0.298537,,,,,,6,37.5043,368497,
9,1000,0.1,10,0.1,[100],"[10, 10]",5,mmtabtransformer,0.0127058,0.0888421,0.365869,0.0690035,0.08434,0.0656082,0.0575863,0.013166,130,332.814,16667,
0,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0118764,0.0848598,0.460053,,,,,,14,50.8093,17227,1024
1,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0129836,0.0889058,0.39858,,,,,,8,48.8548,17227,1024
2,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0110971,0.0827761,0.452886,,,,,,8,49.3958,17227,1024
3,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0121056,0.0863862,0.434452,,,,,,7,48.3542,17227,1024
4,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.012235,0.0870371,0.446046,,,,,,6,26.8107,17227,1024
5,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0114018,0.0827249,0.443662,,,,,,8,49.5222,17227,1024
6,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0115825,0.0829138,0.465608,,,,,,10,48.8282,17227,1024
7,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0147399,0.097194,0.342187,,,,,,7,29.8422,17227,1024
8,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0122102,0.0862192,0.405295,,,,,,7,34.1992,17227,1024
9,100,0.1,10,0.1,[100],"[10, 10]",5,uetabtransformer,0.0122433,0.0871613,0.388951,,,,,,16,88.7191,17227,1024
